ID,2011,2012
E02000001,3152.8002269906,3164.4642941394
E02000002,31.4679148167,28.059269698
E02000003,60.2414463227,44.8601690134
E02000004,15.2523005061,10.1659224424
E02000005,22.1617566203,22.6913311313
E02000007,13.1874703592,11.3689696729
E02000008,22.8103101537,22.1368021951
E02000009,20.7491905794,23.03897823
E02000010,24.36936878,25.2794174411
E02000011,24.3210481239,27.6481597325
E02000012,10.7122249917,13.2683291651
E02000013,12.9222601413,16.0211209753
E02000014,22.3621456205,20.7656270894
E02000015,14.1872662843,10.3645263418
E02000016,120.970113068,108.2506683018
E02000017,38.4610632302,34.3022983648
E02000018,13.7766345677,8.6944570074
E02000019,20.4355271234,33.2908521917
E02000020,97.3710026509,78.7655446759
E02000021,19.4866600393,20.5070767842
E02000022,33.0149318896,35.1961830891
E02000023,34.3382050647,33.4456009555
E02000024,192.8865903568,177.0274061238
E02000025,68.0399341554,75.4954094652
E02000026,33.7454341708,32.3001106554
E02000027,23.9573531384,23.1286174673
E02000028,80.6927807733,74.0572362525
E02000029,78.5004544262,78.5082948486
E02000030,52.8151121226,46.1664095842
E02000031,102.5968364025,115.1439032834
E02000032,33.500602255,23.9103897672
E02000033,53.6811382013,48.5162793072
E02000034,76.2916716693,64.9727348187
E02000035,103.1168970225,98.0211337018
E02000036,37.8638391874,32.11726714
E02000037,32.5035325782,30.1919977349
E02000038,82.2085580539,80.2983216511
E02000039,138.1537105312,109.351133517
E02000040,48.5748448537,43.4132022802
E02000041,217.2754587715,163.9194968937
E02000042,279.2936695986,292.3780631757
E02000043,29.885930238,23.6311392128
E02000044,77.5032685467,57.1230286205
E02000045,64.8934432694,60.0076158753
E02000046,110.4324673783,93.8655911975
E02000047,50.4761683894,42.2686810862
E02000048,62.0970964252,56.4423199077
E02000049,14.5552023321,18.8975781803
E02000050,46.5080854586,51.9385075272
E02000051,164.839384896,156.2062840933
E02000052,86.2433798202,75.5996655563
E02000053,60.3613968691,60.7892715485
E02000054,39.5169085568,28.1042196584
E02000055,172.2753364125,163.6742271065
E02000056,60.9743490704,62.6592043033
E02000057,42.3113115669,48.6528977396
E02000058,157.9405835399,129.2464042875
E02000059,83.2103648308,80.5444466757
E02000060,63.4890751756,46.0160266233
E02000061,134.5990636996,126.6583483647
E02000062,67.9170566623,57.689901157
E02000063,37.0871531759,19.7329482549
E02000064,66.9482572217,60.8495119055
