ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
E02000001,1188.2885514141,1501.4556260863,1787.1186374141,2252.4283752048,2058.0338710229003,1900.0632637635001,2286.5011579388,2684.4472042676002,2625.2374748654997,2890.3374094446003
E02000002,3.2395462242,24.372893098400002,13.179383623800002,10.9477445576,10.17945592,17.4820140555,12.3148622384,20.7970777479,29.4843793833,31.2042149821
E02000003,15.6944364305,29.664658822399996,28.1870147335,32.508698983,41.8138339248,38.6327583877,55.8795516693,40.246271455,39.5877521655,51.9059812826
E02000004,1.5197479456999998,1.5729068797,7.9297849015,12.2003430869,9.5770552565,7.654221639299999,9.0686922408,11.1714744741,10.856608669000002,9.8739552914
E02000005,4.2737187067,6.472816472100001,11.1494422652,12.902136408499999,15.3615665694,8.8202654395,10.4076179381,12.1290173367,10.6608519516,22.5003065981
E02000006,5.4628935336,13.988769424900001,18.6037550126,33.5692826669,31.915506368600003,27.054873677899998,34.7765005913,49.2696379785,41.084319582,42.2674269103
E02000007,0.8850754284000001,4.0360417056,8.2433403295,10.3228400962,5.7862080222,6.0208726426,11.090164321600001,18.0399862419,17.7509202781,16.7517014489
E02000008,4.1622087323,10.6317254592,11.5519293352,20.960365213,17.6572358644,15.0178375402,17.593734641300003,19.673984488800002,22.8784897146,23.3262771652
E02000009,4.2514762394,4.3405251972,5.3824289552,11.65008178,12.0706233403,10.0727948328,12.8929095901,13.8736456752,18.481521390999998,23.0364600569
E02000010,7.0533624532,7.119048898300001,7.4451892475,11.8865592503,18.8955311978,14.435485263099999,11.565917023499999,12.3464289904,11.2294944427,18.663286765
E02000011,7.3461049624,13.2564480418,12.6799315175,16.5465029926,18.5386978503,17.0855457837,22.1878192405,35.5768183983,19.3878004818,21.8398692816
E02000012,3.3160623919,3.9879225677999997,11.522516174000001,12.4439807621,14.6905016254,8.5514850634,9.1422489061,7.4077846458000005,6.950696796900001,16.4013384613
E02000013,2.0802307538,3.2828865357,3.1197494451,5.4622706253999995,2.5693086572,3.925991883,6.9074252902,10.6149092351,8.6736189989,11.189603926199998
E02000014,1.6469063152,5.6595684164,6.9536539287,14.547398985,11.7483295096,8.4409932757,9.373150529,23.0311027031,11.801108577699999,24.5017207307
E02000015,3.4610983586,3.5528776401999997,3.1571540098,3.3961153233999997,3.5667814359,3.7017985012,2.5878666894999998,11.4284056211,10.9900462913,15.7464793154
E02000016,26.5957902461,30.9426936515,43.097117009399994,65.4717909883,52.7500244339,40.9969672779,55.9461317388,66.1149453438,79.2123677714,111.26078217870001
E02000017,8.2667571794,11.0543747617,9.0361490076,15.596210333299998,18.0295461173,16.3420866788,17.7396188965,17.015578247,16.5440288098,31.320124776
E02000018,1.0437676984,3.5854268387,3.7512882667,4.8490939266,4.3951833377,7.1400342463,5.4440954634,13.736669771199999,8.1183512799,12.041685521600002
E02000019,2.1071971108,5.796802835399999,6.0591374157,9.408447131,9.477905358500001,6.2447380024,10.1395443414,13.8814599862,15.672749208900001,16.9040688093
E02000020,18.0953878023,32.2037562472,49.510149750500005,68.0633706263,55.9704407725,54.0774659562,67.8908442064,71.3536821309,76.18264731869999,86.1126829297
E02000021,9.531868584,10.6149716747,12.832247013599998,19.7789582113,16.1203181329,11.014088839000001,11.5189160622,15.3969920029,16.8430717826,20.6421253824
E02000022,3.1647568527999996,4.5177045363,7.372475734199999,12.639208666099998,13.152938295999999,6.0888299456,16.4478059439,23.1261902589,24.0423985486,27.3993817325
E02000023,5.132449547,9.8960915755,12.2774791574,19.1170833625,21.738896064299997,18.5532360861,21.006291294,30.421271475900003,29.904004549899998,37.2462452994
E02000024,30.15779537,45.9632193025,70.57442110470001,103.2456228957,100.50768010799999,95.3171587272,121.2666912942,149.7474276849,160.33518099120002,179.95182793400002
E02000025,8.5849981381,17.9327667934,24.307646014899998,33.9964591118,29.3391259271,33.4491431924,43.6985550975,49.9522946222,37.2771840176,55.2763481907
E02000026,3.4491677811000003,9.045120881399999,9.803769944299999,18.3446812435,16.2843534211,13.2147524502,15.6372192328,24.1813041684,28.000122459,23.9811459294
E02000027,6.9689244095000005,5.952739696599999,12.3617085298,20.619222769,21.5934968039,20.0611770872,22.280351949699998,25.7625424252,27.5172997023,23.0741609922
E02000028,18.6374632526,33.7232623425,34.9719217983,51.74399786520001,58.671111330500004,44.0228146653,55.619816244300004,60.886401795299996,61.581719147799994,68.69128878939999
E02000029,30.881483795599998,37.8893754938,42.8709224927,63.6177415589,53.883300464799994,42.2296262592,67.6892921163,73.2261919063,74.3674650871,77.58585876800001
E02000030,17.7242556884,22.8286600725,21.9222421429,24.395585696399998,26.7626416611,25.361977602899998,31.710988674699998,39.5925493509,37.2391347035,50.244636147399994
E02000031,29.2581610419,49.016795081800005,57.9486446683,77.7396651506,69.7309766409,59.6800535421,84.49811547590001,89.17725020290001,83.43134978,89.59669306229999
E02000032,7.9419839175,11.3090233812,13.859214758499999,20.823535228599997,22.8450648722,19.2871023903,23.9805715037,29.9181994363,25.5309892125,35.559847542199996
E02000033,6.8807623628,12.8887381433,14.026466598299999,25.779028979099998,29.7513202361,20.22773978,22.697337394,41.1524691558,33.941459046999995,47.5905702497
E02000034,9.3935804665,20.4854171879,22.5702013021,25.584534067899998,30.066459196999997,30.9905481994,35.404945948299996,44.794177241099995,38.5455029954,58.1689656253
E02000035,22.3797103314,48.078757338100004,67.3533661709,82.3246811121,71.8545265127,59.929974710299994,57.862117858699996,68.4291555458,78.54803060489999,88.61437539069999
E02000036,15.2588095209,16.5496974442,22.9942091206,32.452107793,26.8349627083,26.8986336652,30.2004670002,35.4332801973,29.871821855500002,29.7951503801
