ID,ROAD,EASTING,NORTHING,DIRECTION,MONTH,YEAR,TOTAL FLOW,PEDAL-MOTORCYCLE, CAR, TRAILER_CARAVAN_VAN,2AXLE_TRUCKorBUS, 3AXLE_TRUCKorBUS, 4AXLE_TRUCK, LGV,TOTAL LARGER THAN CAR,DFT PEDAL CYCLE,DFT MOTOR CYCLE,AVERAGE_SPEED,_85TH_SPEED,,,,,,,,,,,,
AMC8,Camberwell Road,532449.580,177241.000,S,5,2013,9963,938,6985,61,1759,47,71,103,2041,n/a,n/a,25.2,30.6,,,,,,,,,,,,
AMC8,Camberwell Road,532449.580,177241.000,S,11,2015,8962,581,6775,63,1410,25,43,64,1605,n/a,n/a,23.9,29.3,,,,,,,,,,,,
AMC8,Camberwell Road,532449.580,177241.000,S,10,2010,10495,1003,7649,54,1404,197,87,101,1843,n/a,n/a,25.3,31.5,,,,,,,,,,,,
AMC8,Camberwell Road,532449.580,177241.000,S,10,2011,9595,1038,6781,53,1520,64,67,72,1776,n/a,n/a,26.2,32.7,,,,,,,,,,,,
AMC8,Camberwell Road,532449.580,177241.000,S,10,2012,8553,325,7041,57,906,132,41,51,1187,n/a,n/a,26.7,31.8,,,,,,,,,,,,
AMC8,Camberwell Road,532449.580,177241.000,S,10,2013,9761,832,7440,61,905,319,98,106,1489,n/a,n/a,24.8,29.5,,,,,,,,,,,,
AMC8,Camberwell Road,532449.580,177241.000,S,10,2014,9064,341,7665,54,739,229,36,57,1115,n/a,n/a,27.2,32.0,,,,,,,,,,,,
AMC8,Camberwell Road,532449.580,177241.000,S,10,2015,10596,836,8322,73,1229,57,79,125,1563,n/a,n/a,23.7,28.6,,,,,,,,,,,,
LBS16,Camberwell Station Road,532235.200,176676.090,N,4,2013,382,33,320,1,26,1,1,0,29,n/a,n/a,22.3,28.0,,,,,,,,,,,,
LBS16,Camberwell Station Road,532235.200,176676.090,S,4,2013,668,38,576,1,50,2,1,0,54,n/a,n/a,23.3,29.1,,,,,,,,,,,,
MIX42,Carlton Grove,534749.000,176933.000,N,10,2016,1077,79,927,2,63,3,3,0,71,51,28,17.3,22.1,,,,,,,,,,,,
MIX42,Carlton Grove,534749.000,176933.000,N,5,2013,891,53,766,1,69,1,1,0,72,n/a,n/a,21.2,26.2,,,,,,,,,,,,
MIX42,Carlton Grove,534749.000,176933.000,N,11,2015,1055,59,913,2,71,6,3,1,83,n/a,n/a,17.2,21.7,,,,,,,,,,,,
MIX42,Carlton Grove,534749.000,176933.000,N,3,2010,1096,1,1032,2,57,2,2,0,63,n/a,n/a,17.8,21.5,,,,,,,,,,,,
MIX42,Carlton Grove,534749.000,176933.000,S,10,2016,1454,102,1245,3,94,6,4,1,108,62,36,16.7,20.4,,,,,,,,,,,,
MIX42,Carlton Grove,534749.000,176933.000,S,5,2013,1194,58,1041,1,90,2,2,0,95,n/a,n/a,20.6,25.7,,,,,,,,,,,,
MIX42,Carlton Grove,534749.000,176933.000,S,11,2015,1426,71,1255,2,82,14,3,1,100,n/a,n/a,16.5,21.3,,,,,,,,,,,,
MIX42,Carlton Grove,534749.000,176933.000,S,3,2010,1209,5,1007,2,190,4,0,1,197,n/a,n/a,21.3,25.1,,,,,,,,,,,,
AMH35,Casino Avenue,532568.940,174866.190,N,10,2010,219,14,196,0,9,0,0,0,9,n/a,n/a,14.3,17.2,,,,,,,,,,,,
AMH35,Casino Avenue,532568.940,174866.190,S,10,2010,268,19,240,0,8,1,0,0,9,n/a,n/a,13.5,16.3,,,,,,,,,,,,
SW11,Cator Street,533724.362,177566.251,N,2,2016,282,27,232,0,23,1,0,0,24,n/a,n/a,14.7,19.8,,,,,,,,,,,,
SW11,Cator Street,533724.362,177566.251,S,2,2016,322,31,264,0,26,0,0,0,26,n/a,n/a,15.3,19.7,,,,,,,,,,,,
MIX60,Chadwick Road,533693.155,176077.108,E,10,2015,647,89,522,1,33,1,1,0,36,n/a,n/a,22.0,27.5,,,,,,,,,,,,
MIX60,Chadwick Road,533693.155,176077.108,E,12,2016,1453,83,1292,2,29,43,2,1,77,63,20,20.8,24.1,,,,,,,,,,,,
MIX60,Chadwick Road,533693.155,176077.108,W,10,2015,721,94,580,1,44,1,1,0,47,n/a,n/a,21.0,27.5,,,,,,,,,,,,
MIX60,Chadwick Road,533693.155,176077.108,W,12,2016,1209,62,1093,1,16,27,8,2,54,42,20,20.3,25.0,,,,,,,,,,,,
LBS61,Chadwick Road,534052.080,176135.620,E,4,2012,16,6,10,0,0,0,0,0,0,n/a,n/a,12.8,15.0,,,,,,,,,,,,
LBS61,Chadwick Road,534052.080,176135.620,W,4,2012,2646,138,2242,5,233,22,3,3,266,n/a,n/a,22.2,27.1,,,,,,,,,,,,
MIX12,Chambers Street,534255.190,179725.790,E,4,2013,395,151,207,0,26,1,9,1,37,n/a,n/a,16.7,22.6,,,,,,,,,,,,
MIX12,Chambers Street,534255.190,179725.790,E,10,2014,272,84,162,0,23,1,2,0,26,n/a,n/a,16.5,21.9,,,,,,,,,,,,
MIX12,Chambers Street,534255.190,179725.790,W,4,2013,534,168,328,0,29,1,8,1,39,n/a,n/a,17.0,23.0,,,,,,,,,,,,
MIX12,Chambers Street,534255.190,179725.790,W,10,2014,372,94,243,0,30,2,3,0,35,n/a,n/a,16.8,21.9,,,,,,,,,,,,
SPINE8,Champion Hill,532931.154,175655.668,N,12,2016,3253,135,2866,11,198,34,4,3,250,78,57,18.1,21.0,,,,,,,,,,,,
SPINE8,Champion Hill,532931.154,175655.668,S,12,2016,1881,120,1644,5,95,13,3,1,117,79,41,17.2,20.2,,,,,,,,,,,,
AMC15,Champion Hill,533086.110,175648.490,N,12,2016,2323,208,1922,11,34,134,7,8,194,165,43,18.0,20.9,,,,,,,,,,,,
AMC15,Champion Hill,533086.110,175648.490,S,12,2016,3415,226,2915,10,153,93,8,9,273,169,57,18.6,21.7,,,,,,,,,,,,
AMH49,Champion Hill ,532852.080,175767.970,N,10,2010,3454,112,3167,12,130,26,7,8,183,n/a,n/a,17.7,20.4,,,,,,,,,,,,
AMH49,Champion Hill ,532852.080,175767.970,S,10,2010,2080,83,1906,4,76,6,5,1,92,n/a,n/a,15.1,17.7,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,E,10,2016,2154,253,1787,9,92,4,7,2,114,196,58,15.7,18.3,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,E,10,2010,2154,151,1891,11,91,3,5,2,112,n/a,n/a,18.6,21.7,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,E,10,2011,2153,189,1847,11,93,3,10,3,120,n/a,n/a,18.8,22.1,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,E,10,2012,3251,111,2956,13,129,33,9,6,190,n/a,n/a,17.4,20.1,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,E,10,2014,2167,229,1823,9,87,9,10,2,117,n/a,n/a,15.1,17.9,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,E,10,2015,2058,255,1689,9,93,4,8,2,116,n/a,n/a,17.7,20.8,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,E,10,2017,1834,240,1494,7,81,2,7,2,99,180,60,14.5,17.4,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,W,10,2016,3453,272,3013,17,124,6,14,7,168,199,74,14.5,16.8,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,W,10,2010,3398,173,3067,7,141,2,6,3,159,n/a,n/a,20.0,23.3,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,W,10,2011,3425,210,3051,6,144,3,9,2,164,n/a,n/a,20.1,23.5,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,W,10,2012,2012,84,1836,3,75,7,6,1,92,n/a,n/a,15.1,17.9,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,W,10,2013,1368,33,1267,2,58,5,3,2,70,n/a,n/a,14.4,17.2,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,S,10,2013,3007,73,2747,8,172,1,3,3,187,n/a,n/a,17.4,20.1,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,W,10,2014,3464,250,3034,12,143,11,14,7,187,n/a,n/a,15.3,18.3,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,W,10,2015,3358,275,2875,13,174,5,12,4,208,n/a,n/a,18.7,21.7,,,,,,,,,,,,
AMC15,Champion Hill ,533086.110,175648.490,W,10,2017,3298,244,2866,14,156,4,10,4,188,159,84,14.4,17.2,,,,,,,,,,,,
MIX5,Champion Park,532750.120,176023.830,E,4,2012,5496,232,4432,24,788,10,10,19,851,n/a,n/a,26.5,31.1,,,,,,,,,,,,
MIX5,Champion Park,532750.120,176023.830,E,3,2010,6335,268,5292,37,684,16,13,24,774,n/a,n/a,22.0,26.0,,,,,,,,,,,,
MIX5,Champion Park,532750.120,176023.830,E,12,2016,6653,316,5651,28,619,9,16,14,686,158,158,23.9,28.6,,,,,,,,,,,,
MIX5,Champion Park,532750.120,176023.830,W,3,2010,5823,194,5074,15,474,20,22,24,555,n/a,n/a,21.0,26.1,,,,,,,,,,,,
MIX5,Champion Park,532750.120,176023.830,W,12,2016,6442,356,5182,22,805,36,18,23,904,186,170,24.1,28.7,,,,,,,,,,,,
20MPH55,Champion Park,532908.109,176099.051,W,5,2013,6624,391,5302,29,870,14,18,30,961,n/a,n/a,26.1,30.2,,,,,,,,,,,,
20MPH55,Champion Park,532908.109,176099.051,W,11,2015,5981,375,4809,26,675,51,22,24,797,n/a,n/a,23.4,28.2,,,,,,,,,,,,
20MPH55,Champion Park,532908.109,176099.051,E,5,2013,5250,230,4222,22,756,10,10,22,820,n/a,n/a,25.6,30.4,,,,,,,,,,,,
20MPH55,Champion Park,532908.109,176099.051,E,11,2015,5782,323,4744,33,518,108,29,26,715,n/a,n/a,22.7,27.5,,,,,,,,,,,,
SW10,Chandler Way,533424.349,177470.359,N,2,2016,693,156,501,1,28,2,3,0,34,n/a,n/a,17.4,20.9,,,,,,,,,,,,
SW10,Chandler Way,533424.349,177470.359,S,2,2016,620,97,495,1,26,0,1,1,29,n/a,n/a,16.5,19.0,,,,,,,,,,,,
20MPH12,Chaplin Close,531540.691,179817.947,S,11,2015,8,1,5,0,1,0,0,0,1,n/a,n/a,6.2,8.3,,,,,,,,,,,,
20MPH12,Chaplin Close,531540.691,179817.947,N,11,2015,4,1,3,0,0,0,0,0,0,n/a,n/a,6.4,9.4,,,,,,,,,,,,
AMH16,Chapter Road,531858.180,178094.370,N,10,2012,682,63,563,1,41,6,8,0,56,n/a,n/a,18.5,21.9,,,,,,,,,,,,
LBS2,Chapter Road,531947.300,178002.410,N,4,2012,387,44,314,0,29,0,0,0,29,n/a,n/a,16.9,20.8,,,,,,,,,,,,
LBS2,Chapter Road,531947.300,178002.410,S,4,2012,493,62,385,0,45,0,1,1,47,n/a,n/a,17.1,20.8,,,,,,,,,,,,
LBS6,Chapter Road,532026.730,177923.940,N,4,2012,233,8,193,0,31,1,0,0,32,n/a,n/a,17.8,21.5,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,N,10,2016,2382,307,1687,9,358,5,16,4,392,264,43,20.3,26.8,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,N,10,2010,2015,125,1534,4,347,2,2,1,356,n/a,n/a,23.6,28.9,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,N,10,2011,1808,117,1402,2,280,3,4,2,291,n/a,n/a,21.0,26.6,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,N,10,2012,2029,155,1528,3,328,8,6,1,346,n/a,n/a,23.1,29.1,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,N,10,2013,2167,165,1717,4,273,3,5,3,288,n/a,n/a,21.9,28.0,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,N,10,2014,2216,237,1610,6,331,24,8,3,372,n/a,n/a,22.7,28.6,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,N,10,2015,2174,286,1644,6,131,41,66,6,250,n/a,n/a,21.4,27.7,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,N,10,2017,922,130,641,2,140,3,5,1,151,106,24,22.1,28.0,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,S,10,2016,2355,320,1652,5,360,3,15,3,386,274,47,20.4,26.2,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,S,10,2010,2312,134,1811,5,351,2,7,2,367,n/a,n/a,23.4,28.9,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,S,10,2011,1914,118,1502,5,281,3,5,1,295,n/a,n/a,21.9,27.3,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,S,10,2012,2135,167,1619,3,333,6,6,1,349,n/a,n/a,23.9,29.8,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,S,10,2013,2091,63,1769,3,254,1,1,3,262,n/a,n/a,22.7,28.4,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,S,10,2014,2343,258,1704,4,352,12,10,3,381,n/a,n/a,23.5,29.3,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,S,10,2015,2366,300,1750,4,269,16,21,6,316,n/a,n/a,22.3,28.0,,,,,,,,,,,,
AMC23,Cheltenham Road,535406.120,174941.970,S,10,2017,928,140,641,2,133,4,5,1,145,112,27,22.2,28.0,,,,,,,,,,,,
MIX19,Cherry Garden Street,534647.380,179622.880,N,4,2013,96,9,75,0,11,1,0,0,12,n/a,n/a,16.0,20.8,,,,,,,,,,,,
MIX19,Cherry Garden Street,534647.380,179622.880,N,10,2014,99,15,69,0,15,0,0,0,15,n/a,n/a,15.0,20.1,,,,,,,,,,,,
MIX19,Cherry Garden Street,534647.380,179622.880,S,4,2013,110,8,88,0,13,0,1,0,14,n/a,n/a,16.3,20.8,,,,,,,,,,,,
MIX19,Cherry Garden Street,534647.380,179622.880,S,10,2014,75,10,54,0,9,2,0,0,11,n/a,n/a,15.2,19.7,,,,,,,,,,,,
20MPH85,Chesterfield Grove,533650.701,174922.288,E,5,2013,290,12,259,0,9,10,0,0,19,n/a,n/a,15.7,19.2,,,,,,,,,,,,
20MPH85,Chesterfield Grove,533650.701,174922.288,E,11,2015,337,18,300,0,15,3,1,0,19,n/a,n/a,16.4,20.1,,,,,,,,,,,,
20MPH85,Chesterfield Grove,533650.701,174922.288,W,5,2013,268,12,240,0,8,8,0,0,16,n/a,n/a,15.0,18.6,,,,,,,,,,,,
20MPH85,Chesterfield Grove,533650.701,174922.288,W,11,2015,309,20,266,1,9,10,3,0,22,n/a,n/a,16.0,19.5,,,,,,,,,,,,
20MPH159,Chilton Grove,536015.285,178760.620,W,5,2013,723,28,597,1,85,3,9,0,98,n/a,n/a,20.4,25.7,,,,,,,,,,,,
20MPH159,Chilton Grove,536015.285,178760.620,W,11,2015,189,13,154,0,17,4,1,0,22,n/a,n/a,15.9,21.0,,,,,,,,,,,,
20MPH159,Chilton Grove,536015.285,178760.620,E,5,2013,105,4,88,0,11,1,1,0,13,n/a,n/a,17.0,22.8,,,,,,,,,,,,
20MPH159,Chilton Grove,536015.285,178760.620,E,11,2015,881,42,746,1,82,4,6,1,94,n/a,n/a,18.7,23.0,,,,,,,,,,,,
PR55,Choumert Grove,534145.264,176215.538,S,12,2017,502,60,350,0,91,1,0,0,92,n/a,n/a,14.3,17.7,,,,,,,,,,,,
PMC33,Choumert Grove,534205.490,176097.630,E,3,2010,746,49,673,0,24,0,0,0,24,n/a,n/a,13.2,15.5,,,,,,,,,,,,
20MPH98,Choumert Road,533831.828,175991.962,E,11,2015,480,52,405,0,22,1,0,0,24,n/a,n/a,19.8,25.1,,,,,,,,,,,,
20MPH98,Choumert Road,533831.828,175991.962,W,11,2015,349,35,289,0,22,1,1,0,25,n/a,n/a,18.4,23.9,,,,,,,,,,,,
PMC28,Choumert Road,534022.900,176050.040,E,3,2010,2167,169,1886,2,108,0,2,0,112,n/a,n/a,17.7,21.1,,,,,,,,,,,,
AMH98,Choumert Road,534265.395,176113.207,W,10,2015,1531,41,1279,2,168,37,4,7,218,n/a,n/a,15.0,22.1,,,,,,,,,,,,
20MPH115,Cicely Road,534364.542,176506.745,S,5,2013,128,6,103,0,17,1,0,1,19,n/a,n/a,19.1,25.3,,,,,,,,,,,,
20MPH115,Cicely Road,534364.542,176506.745,S,11,2015,172,19,133,0,18,1,0,1,20,n/a,n/a,17.6,23.5,,,,,,,,,,,,
20MPH115,Cicely Road,534364.542,176506.745,N,5,2013,13,2,11,0,0,0,0,0,0,n/a,n/a,17.3,25.3,,,,,,,,,,,,
20MPH115,Cicely Road,534364.542,176506.745,N,11,2015,35,8,26,0,1,0,0,0,1,n/a,n/a,15.2,21.0,,,,,,,,,,,,
MIX61,Clayton Road,534442.870,176688.150,N,3,2010,7121,181,5931,33,919,33,24,21,1030,n/a,n/a,21.5,26.4,,,,,,,,,,,,
MIX61,Clayton Road,534442.870,176688.150,N,12,2016,7441,249,6612,26,338,122,67,26,579,115,134,21.0,24.6,,,,,,,,,,,,
MIX61,Clayton Road,534442.870,176688.150,S,3,2010,9761,183,8267,53,1130,85,43,53,1364,n/a,n/a,19.8,24.4,,,,,,,,,,,,
MIx61,Clayton Road,534442.870,176688.150,S,12,2016,11390,532,9641,40,428,197,446,106,1217,374,158,14.8,20.1,,,,,,,,,,,,
PR43,Clements Road,534720.000,179175.000,E,7,2017,2134,165,1758,6,191,5,7,4,213,n/a,n/a,16.7,19.9,,,,,,,,,,,,
PR43,Clements Road,534720.000,179175.000,W,7,2017,872,77,717,1,69,2,3,1,77,n/a,n/a,17.1,19.9,,,,,,,,,,,,
AMH136,Clifton Way,535181.000,177095.000,E,10,2016,871,78,716,2,71,2,2,1,78,94,116,16.7,21.9,,,,,,,,,,,,
AMH136,Clifton Way,535181.000,177095.000,E,10,2010,1380,38,1239,3,97,2,1,0,103,n/a,n/a,18.4,23.0,,,,,,,,,,,,
AMH136,Clifton Way,535181.000,177095.000,W,10,2016,1101,98,900,1,98,2,2,2,105,124,180,18.1,23.3,,,,,,,,,,,,
AMH136,Clifton Way,535181.000,177095.000,W,10,2010,1098,34,873,1,186,2,1,1,191,n/a,n/a,21.4,27.5,,,,,,,,,,,,
MIX43,Coburg Road,533656.000,178105.000,N,10,2016,445,102,316,1,18,1,7,0,27,170,134,20.3,26.2,,,,,,,,,,,,
MIX43,Coburg Road,533656.000,178105.000,N,5,2013,330,35,261,0,31,2,1,0,34,n/a,n/a,20.0,25.5,,,,,,,,,,,,
MIX43,Coburg Road,533656.000,178105.000,N,11,2015,424,72,321,1,27,1,1,0,31,n/a,n/a,19.5,25.3,,,,,,,,,,,,
MIX43,Coburg Road,533656.000,178105.000,S,10,2016,221,36,177,0,6,1,1,0,8,154,161,16.9,21.9,,,,,,,,,,,,
MIX43,Coburg Road,533656.000,178105.000,S,5,2013,156,25,119,0,11,1,0,0,12,n/a,n/a,17.3,22.6,,,,,,,,,,,,
MIX43,Coburg Road,533656.000,178105.000,S,11,2015,171,35,128,0,6,0,0,0,7,n/a,n/a,16.1,21.3,,,,,,,,,,,,
MIX6,Colby Road,533419.946,171228.576,E,11,2015,232,8,208,0,15,0,0,0,16,n/a,n/a,19.2,25.3,,,,,,,,,,,,
MIX6,Colby Road,533419.946,171228.576,E,10,2011,190,8,174,0,8,0,0,0,8,n/a,n/a,19.6,25.1,,,,,,,,,,,,
MIX6,Colby Road,533419.946,171228.576,W,11,2015,380,11,347,0,21,1,0,0,23,n/a,n/a,21.2,27.3,,,,,,,,,,,,
MIX6,Colby Road,533419.946,171228.576,W,10,2011,308,17,276,0,15,0,0,0,15,n/a,n/a,20.9,26.4,,,,,,,,,,,,
20MPH46,Coldharbour Lane,532452.001,176346.431,W,11,2015,6871,584,5577,29,558,56,38,28,710,n/a,n/a,21.1,25.9,,,,,,,,,,,,
20MPH46,Coldharbour Lane,532452.001,176346.431,E,11,2015,7191,633,5758,46,251,217,228,58,801,n/a,n/a,20.4,24.8,,,,,,,,,,,,
PMC5,Coldharbour Lane,532505.650,176487.040,N,3,2010,5140,126,4680,34,226,44,30,34,368,n/a,n/a,14.6,18.0,,,,,,,,,,,,
PMC5,Coldharbour Lane,532505.650,176487.040,S,3,2010,5429,240,4873,31,232,26,9,20,317,n/a,n/a,17.9,20.6,,,,,,,,,,,,
FRIERN17,Cole Street,532477.000,179555.000,N,10,2017,201,81,106,0,7,3,3,0,14,n/a,n/a,16.8,15.4,,,,,,,,,,,,
FRIERN17,Cole Street,532477.000,179555.000,S,10,2017,286,100,163,0,20,1,2,0,23,n/a,n/a,17.1,18.1,,,,,,,,,,,,
AMH72,College Road,533693.040,171794.780,N,10,2012,3810,243,3259,42,241,11,14,17,325,n/a,n/a,18.0,21.9,,,,,,,,,,,,
AMH72,College Road,533693.040,171794.780,S,10,2012,3611,247,3127,11,139,73,14,7,244,n/a,n/a,18.9,22.1,,,,,,,,,,,,
AMH143,Coll's Road,535253.810,176938.970,N,10,2010,196,18,164,0,13,1,0,0,14,n/a,n/a,14.7,17.4,,,,,,,,,,,,
AMH143,Coll's Road,535253.810,176938.970,S,10,2010,180,19,148,0,13,0,0,0,13,n/a,n/a,14.8,18.1,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,10,2016,2825,141,2436,9,225,8,6,4,252,79,62,20.1,25.1,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,5,2013,2420,98,2104,5,202,7,4,6,224,n/a,n/a,24.2,28.9,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,11,2015,2423,73,2087,5,234,11,6,6,263,n/a,n/a,21.8,26.6,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,10,2010,2605,80,2301,4,213,4,3,5,229,n/a,n/a,24.2,28.9,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,10,2011,2644,100,2326,4,201,6,3,4,218,n/a,n/a,24.1,28.9,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,10,2012,2668,89,2337,6,221,7,4,4,242,n/a,n/a,24.0,28.6,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,10,2013,2427,48,2179,5,176,16,3,4,204,n/a,n/a,24.4,28.9,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,10,2014,2741,94,2405,6,224,9,3,4,246,n/a,n/a,23.0,27.5,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,10,2015,2669,120,2303,7,218,10,6,5,246,n/a,n/a,21.7,26.6,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,E,10,2017,2551,135,2180,6,191,20,14,6,237,66,69,20.4,25.3,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,10,2016,2279,121,1956,6,186,5,5,4,206,64,57,20.9,25.7,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,5,2013,2018,89,1731,5,180,7,6,5,203,n/a,n/a,23.9,28.9,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,11,2015,1897,64,1654,3,165,5,4,2,180,n/a,n/a,21.1,25.7,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,10,2010,2222,73,1961,3,175,3,3,4,188,n/a,n/a,24.1,29.1,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,10,2011,2112,83,1848,4,169,4,4,2,183,n/a,n/a,24.0,29.3,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,10,2012,2193,80,1906,3,186,9,5,4,207,n/a,n/a,23.3,28.2,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,10,2013,2056,40,1839,4,160,9,4,5,182,n/a,n/a,23.6,28.4,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,10,2014,2204,86,1948,5,151,7,5,2,170,n/a,n/a,22.7,27.5,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,10,2015,2254,103,1947,5,187,7,5,3,207,n/a,n/a,21.5,26.4,,,,,,,,,,,,
AMC20,Commercial Way,534369.630,177280.820,W,10,2017,1997,112,1703,6,163,6,3,4,182,50,62,21.2,26.0,,,,,,,,,,,,
20MPH148,Concorde Way,535604.747,178603.874,W,11,2015,320,19,285,0,14,2,0,0,16,n/a,n/a,15.9,20.1,,,,,,,,,,,,
20MPH148,Concorde Way,535604.747,178603.874,E,11,2015,282,16,247,1,4,13,1,0,19,n/a,n/a,15.1,19.0,,,,,,,,,,,,
MIX62,Consort Road,534553.390,176440.650,N,3,2010,9049,487,7928,62,456,24,56,35,634,n/a,n/a,18.5,21.2,,,,,,,,,,,,
MIX62,Consort Road,534553.390,176440.650,N,12,2016,10049,321,8846,89,676,37,39,42,883,116,205,19.7,23.3,,,,,,,,,,,,
MIX62,Consort Road,534553.390,176440.650,S,3,2010,10088,183,9253,43,491,56,34,27,651,n/a,n/a,23.3,26.4,,,,,,,,,,,,
