ID,ROAD,EASTING,NORTHING,DIRECTION,MONTH,YEAR,TOTAL FLOW,PEDAL-MOTORCYCLE, CAR, TRAILER_CARAVAN_VAN,2AXLE_TRUCKorBUS, 3AXLE_TRUCKorBUS, 4AXLE_TRUCK, LGV,TOTAL LARGER THAN CAR,DFT PEDAL CYCLE,DFT MOTOR CYCLE,AVERAGE_SPEED,_85TH_SPEED,,,,,,,,,,,,
MIX25,Weller Street,532228.140,179814.400,S,10,2010,1622,140,1180,8,280,2,3,10,303,n/a,n/a,19.0,22.6,,,,,,,,,,,,
MIX25,Weller Street,532228.140,179814.400,N,1,2012,22,10,11,0,1,0,0,0,1,n/a,n/a,13.4,16.8,,,,,,,,,,,,
SW7,Wells Way,533001.839,177724.906,N,2,2016,5538,290,4674,24,496,25,12,18,575,n/a,n/a,22.2,25.9,,,,,,,,,,,,
SW7,Wells Way,533001.839,177724.906,S,2,2016,7623,114,6778,23,652,15,27,14,731,n/a,n/a,19.4,22.7,,,,,,,,,,,,
SW8,Wells Way,533038.010,177494.622,N,2,2016,4779,310,3950,22,434,35,16,11,518,n/a,n/a,20.6,24.2,,,,,,,,,,,,
SW8,Wells Way,533038.010,177494.622,S,2,2016,6370,371,5338,29,513,65,31,23,661,n/a,n/a,19.6,23.2,,,,,,,,,,,,
SW9,Wells Way,533214.999,177592.274,E,2,2016,3288,90,2947,9,229,4,6,2,250,n/a,n/a,18.9,21.6,,,,,,,,,,,,
SW9,Wells Way,533214.999,177592.274,W,2,2016,2541,58,2311,9,157,1,2,2,171,n/a,n/a,20.1,23.1,,,,,,,,,,,,
MIX21,West Lane,534699.030,179666.960,S,4,2013,230,28,183,0,19,0,0,0,19,n/a,n/a,21.5,26.8,,,,,,,,,,,,
MIX21,West Lane,534699.030,179666.960,S,10,2014,101,26,66,0,9,0,0,0,9,n/a,n/a,18.8,25.3,,,,,,,,,,,,
MIX21,West Lane,534699.030,179666.960,N,4,2013,392,53,305,0,32,0,1,1,34,n/a,n/a,20.5,25.7,,,,,,,,,,,,
MIX21,West Lane,534699.030,179666.960,N,10,2014,409,51,325,0,32,1,0,0,33,n/a,n/a,20.0,24.8,,,,,,,,,,,,
20MPH58,Weston Street,532998.352,179637.768,S,11,2015,1974,231,1471,8,205,44,10,5,272,n/a,n/a,17.6,21.9,,,,,,,,,,,,
20MPH58,Weston Street,532998.352,179637.768,N,11,2015,2470,301,1813,10,313,18,10,5,356,n/a,n/a,17.3,21.5,,,,,,,,,,,,
20MPH102,WESTWOOD HILL ,533981.666,171429.138,W,11,2015,18147,421,15651,160,1321,185,138,271,2074,n/a,n/a,20.8,24.2,,,,,,,,,,,,
20MPH102,WESTWOOD HILL ,533981.666,171429.138,E,11,2015,16190,234,14388,115,989,140,82,243,1568,n/a,n/a,17.1,21.0,,,,,,,,,,,,
LBS50,Whateley Road,533865.380,174668.900,W,4,2013,1722,104,1504,3,78,27,6,2,116,n/a,n/a,21.6,25.9,,,,,,,,,,,,
LBS50,Whateley Road,533865.380,174668.900,E,4,2013,1443,91,1253,3,78,15,3,1,100,n/a,n/a,22.3,27.1,,,,,,,,,,,,
AMH58,Wild's Rents,533077.470,179442.260,S,10,2012,803,102,635,1,49,14,2,0,66,n/a,n/a,13.9,16.8,,,,,,,,,,,,
AMH164,Willow Walk,533444.756,178930.051,S,10,2017,1731,964,622,3,48,7,74,12,144,887,78,15.8,19.6,,,,,,,,,,,,
AMH164,Willow Walk,533444.756,178930.051,N,10,2017,1941,887,840,3,67,18,97,29,214,758,129,16.9,21.5,,,,,,,,,,,,
MIX8,Willowbrook Road,533979.890,177423.190,S,5,2013,6594,300,5496,38,704,33,23,19,817,n/a,n/a,21.9,26.6,,,,,,,,,,,,
MIX8,Willowbrook Road,533979.890,177423.190,S,11,2015,7362,203,6358,43,687,27,21,24,801,n/a,n/a,20.2,24.4,,,,,,,,,,,,
MIX8,Willowbrook Road,533979.890,177423.190,S,4,2010,6893,233,5853,57,678,20,27,26,808,n/a,n/a,22.6,26.6,,,,,,,,,,,,
MIX8,Willowbrook Road,533979.890,177423.190,S,6,2011,6959,243,5922,45,693,14,21,21,794,n/a,n/a,22.1,26.4,,,,,,,,,,,,
MIX8,Willowbrook Road,533979.890,177423.190,N,5,2013,6047,287,5008,35,696,9,12,24,776,n/a,n/a,24.2,28.6,,,,,,,,,,,,
MIX8,Willowbrook Road,533979.890,177423.190,N,11,2015,6564,288,5518,48,660,10,17,24,759,n/a,n/a,22.0,25.9,,,,,,,,,,,,
MIX8,Willowbrook Road,533979.890,177423.190,N,4,2010,6920,268,5805,53,730,24,13,27,847,n/a,n/a,24.4,28.6,,,,,,,,,,,,
MIX8,Willowbrook Road,533979.890,177423.190,N,6,2011,6218,246,5228,37,680,18,9,24,768,n/a,n/a,24.6,29.1,,,,,,,,,,,,
MIX18,Wilson Grove,534544.060,179617.010,S,4,2013,112,12,90,0,10,0,0,0,10,n/a,n/a,16.4,22.1,,,,,,,,,,,,
MIX18,Wilson Grove,534544.060,179617.010,S,10,2014,115,13,89,0,13,0,0,0,13,n/a,n/a,16.1,21.0,,,,,,,,,,,,
MIX18,Wilson Grove,534544.060,179617.010,N,4,2013,148,14,115,0,18,1,0,0,19,n/a,n/a,18.9,24.4,,,,,,,,,,,,
MIX18,Wilson Grove,534544.060,179617.010,N,10,2014,109,14,82,0,13,0,0,0,13,n/a,n/a,16.0,21.0,,,,,,,,,,,,
MIX53,Wilson Road,533012.714,176612.205,S,3,2010,814,71,688,1,52,1,1,0,55,n/a,n/a,18.8,23.1,,,,,,,,,,,,
MIX53,Wilson Road,533012.714,176612.205,S,10,2015,575,87,443,0,42,2,1,0,45,n/a,n/a,20.2,25.5,,,,,,,,,,,,
