cp,year,bicycle_motorbike,car,larger_than_car,total,direction,num_direction
MIX68,2012,382,5112,584,6078,NS,2
MIX68,2016,599,7167,691,8459,NN,1
MIX69,2010,176,3437,207,3820,EW,2
MIX69,2016,337,1653,158,2147,EW,2
MIX7,2010,559,21759,1736,24053,NS,2
MIX7,2012,590,18934,1776,21300,NS,2
MIX7,2013,391,10372,661,11346,NS,2
MIX70,2010,1017,2485,1828,5303,NS,2
MIX70,2016,1651,2998,1650,6299,NS,2
MIX71,2011,220,3470,266,3954,EW,2
MIX71,2012,213,4235,319,4767,EW,2
MIX71,2017,312,3802,237,4351,EW,2
MIX73,2015,608,3667,254,4523,NS,2
MIX73,2016,597,4030,272,4899,NS,2
MIX74,2015,73,450,84,607,NS,2
MIX75,2015,151,1573,246,1978,NS,2
MIX75,2017,227,1427,211,1867,NS,2
MIX76,2015,53,502,103,658,EE,1
MIX76,2017,88,127,33,258,EW,2
MIX8,2010,501,11658,1655,13813,NS,2
MIX8,2011,489,11150,1562,13177,NS,2
MIX8,2013,587,10504,1593,12641,NS,2
MIX8,2015,491,11876,1560,13926,NS,2
MIX9,2013,181,849,97,1127,EW,2
MIX9,2014,199,777,75,1051,EW,2
PMC1,2010,55,708,41,804,NS,2
PMC10,2010,725,15145,1716,17586,NS,2
PMC12,2010,141,1504,99,1744,NS,2
PMC17,2010,106,2420,140,2665,NS,2
PMC18,2010,109,1423,94,1626,EW,2
PMC19,2010,226,2559,172,2957,NS,2
PMC2,2010,56,178,13,247,SS,1
PMC20,2010,1012,21086,2757,24649,EW,2
PMC21,2010,47,1050,63,1160,NS,2
PMC22,2010,134,1042,68,1245,EW,2
PMC25,2010,67,1431,86,1584,WW,1
PMC27,2010,25,953,113,1091,EE,1
PMC28,2010,169,1886,112,2167,EE,1
PMC29,2010,718,23067,2253,26037,EW,2
PMC31,2010,13,468,23,504,NN,1
PMC32,2010,6,333,44,383,SS,1
PMC33,2010,49,673,24,746,EE,1
PMC34,2010,85,710,112,907,EW,2
PMC4,2010,860,17664,2126,20649,NS,2
PMC41,2010,134,8438,646,9217,NS,2
PMC42,2010,34,480,46,560,NS,2
PMC43,2010,70,4066,315,4451,NS,2
PMC46,2010,126,4092,267,4483,NS,2
PMC48,2010,44,464,27,535,NS,2
PMC49,2010,113,1187,106,1403,NS,2
PMC5,2010,366,9553,685,10569,NS,2
PMC50,2010,753,23290,2819,26657,EW,2
PMC6,2010,920,20353,2162,23434,NS,2
PMC62,2010,90,3736,380,4206,NS,2
PMC63,2010,363,9915,1009,11274,NS,2
PMC65,2010,653,20218,2450,23320,EW,2
PMC66,2010,260,11555,842,12656,NS,2
PMC7,2010,127,1123,97,1348,EW,2
PMC8,2010,699,19359,2890,22947,NS,2
PR16,2012,610,12095,0,14629,NS,2
PR17,2011,512,16296,0,17584,NS,2
PR18,2011,724,11023,0,13685,NS,2
PR2,2012,430,12051,995,13439,NS,2
PR27,2012,382,8327,0,9897,EW,2
PR3,2012,1278,19922,4324,25388,EW,2
PR33,2011,208,3863,0,4293,ES,2
PR34,2017,313,1607,165,2087,EW,2
PR35,2017,257,812,205,1274,NN,1
PR36,2017,153,902,221,1277,NN,1
PR37,2017,1276,11728,1536,14541,EW,2
PR38,2017,341,1336,281,1959,NS,2
PR40,2017,475,3555,515,4545,EW,2
PR41,2017,1310,10227,1416,12950,NS,2
PR42,2017,314,726,85,1127,EW,2
PR43,2017,242,2475,290,3006,EW,2
PR44,2017,430,6451,818,7698,NS,2
PR45,2017,262,352,44,658,EW,2
PR46,2017,191,552,108,854,NS,2
PR47,2017,54,225,46,325,EW,2
PR48,2017,662,3652,578,4894,NS,2
PR49,2017,742,3835,715,5292,NS,2
PR50,2017,416,5969,454,6841,EW,2
PR51,2017,285,2050,122,2459,EW,2
PR53,2017,160,5246,574,5980,WW,1
PR54,2017,488,19282,1624,21394,EW,2
PR55,2017,60,350,92,502,SS,1
PR56,2017,80,2335,186,2600,EW,2
PR57,2017,25,972,55,1043,NS,2
PR58,2017,211,7641,718,8572,NS,2
SPINE10,2016,792,6652,603,8047,NS,2
SPINE18,2016,457,4519,329,5305,NS,2
SPINE6,2016,220,2292,205,2715,EW,2
SPINE8,2016,255,4510,367,5134,NS,2
ST1,2016,168,483,105,756,NS,2
ST2,2016,658,968,144,1781,EW,2
ST3,2016,297,301,76,674,NN,1
ST4,2016,125,652,113,894,SS,1
ST5,2016,70,212,40,323,NN,1
ST6,2016,499,1095,172,1780,EW,2
ST7,2016,375,1201,197,1782,EW,2
ST8,2016,487,2120,340,2959,NS,2
ST9,2016,178,1064,202,1450,NS,2
SW1,2016,57,278,23,358,EW,2
SW10,2016,253,996,63,1313,NS,2
SW11,2016,58,496,50,604,NS,2
SW12,2016,193,6331,288,6812,NS,2
SW13,2016,640,11375,1526,13541,NS,2
SW14,2016,1042,9663,1460,12166,NS,2
SW3,2016,550,6104,697,7352,EW,2
SW4,2016,440,2284,210,2936,EW,2
SW5,2016,159,1475,145,1779,EE,1
SW6,2016,334,1257,92,1687,EW,2
SW7,2016,404,11452,1306,13161,NS,2
SW8,2016,681,9288,1179,11149,NS,2
SW9,2016,148,5258,421,5829,EW,2
TP1,2017,543,7348,1219,9111,EW,2
