date,wz11cd,population_all_usual_residents,area_hectares,density_ppl_per_ha
2011,E33000027,463,28.58,16.2
2011,E33000886,282,34.4,8.2
2011,E33000887,411,139.5,2.9
2011,E33000888,239,36,6.6
2011,E33000065,1186,231.97,5.1
2011,E33000889,438,152.49,2.9
2011,E33000890,300,39.68,7.6
2011,E33000891,288,68.64,4.2
2011,E33000892,277,53.26,5.2
2011,E33000893,375,66.28,5.7
2011,E33000894,266,26.73,10
2011,E33000895,277,27.41,10.1
2011,E33000896,637,24.69,25.8
2011,E33000897,334,27.41,12.2
2011,E33000898,3767,37.1,101.5
2011,E33000064,251,8.76,28.7
2011,E33000899,267,68.57,3.9
2011,E33000900,424,35.23,12
2011,E33000901,271,37.92,7.1
2011,E33000902,533,46.88,11.4
2011,E33000903,399,67.86,5.9
2011,E33000904,315,99.39,3.2
2011,E33000905,227,43.79,5.2
2011,E33000906,400,41.99,9.5
2011,E33000907,467,53.97,8.7
2011,E33000908,432,39.04,11.1
2011,E33000909,353,1107,0.3
2011,E33000910,323,54.23,6
2011,E33000911,285,358.04,0.8
2011,E33000912,552,26.19,21.1
2011,E33000913,335,48.7,6.9
2011,E33000914,357,19.3,18.5
2011,E33000915,230,15.3,15
2011,E33000916,297,45.63,6.5
2011,E33000917,274,52.4,5.2
2011,E33000918,300,49.52,6.1
2011,E33000919,529,90.77,5.8
2011,E33000920,360,640.1,0.6
2011,E33000921,512,367.97,1.4
2011,E33000922,250,48.37,5.2
2011,E33000923,570,104.77,5.4
2011,E33000924,268,1062.46,0.3
2011,E33000925,386,404.95,1
2011,E33000926,231,61.43,3.8
2011,E33000927,435,386.58,1.1
2011,E33000032,290,241.47,1.2
2011,E33000033,1116,1086.91,1
2011,E33000034,210,474.62,0.4
2011,E33000035,509,16.25,31.3
2011,E33000036,683,11.54,59.2
2011,E33000037,650,14.19,45.8
2011,E33000928,579,221.91,2.6
2011,E33000929,521,395.35,1.3
2011,E33000009,205,12.01,17.1
2011,E33000010,580,14.72,39.4
2011,E33000011,593,47.62,12.5
2011,E33000012,338,4.67,72.4
2011,E33000013,319,9.84,32.4
2011,E33000014,343,18.09,19
2011,E33000015,230,8.53,27
2011,E33000016,454,13.05,34.8
2011,E33000017,248,10.4,23.8
2011,E33000018,251,16.79,14.9
2011,E33000930,271,78.26,3.5
2011,E33000931,393,98.18,4
2011,E33000932,504,37.34,13.5
2011,E33000933,373,11.71,31.9
2011,E33000001,994,18.46,53.8
2011,E33000002,330,12.14,27.2
2011,E33000003,778,15.02,51.8
2011,E33000004,354,14.8,23.9
2011,E33000005,670,4.46,150.2
2011,E33000006,378,3.39,111.5
2011,E33000007,449,4.74,94.7
